Id;Timestamp;MMSI;Class;Vessel_IMO
105;2020-11-18 00:00:00;219110000;Class A;9775751
106;2020-11-18 00:00:00;219762000;Class A;6905355
107;2020-11-18 00:00:00;211245200;Class A;9131797
108;2020-11-18 00:00:00;258849000;Class A;9390991
109;2020-11-18 00:00:00;219019804;Class A;\N
110;2020-11-18 00:00:00;219013539;Class A;9505792
111;2020-11-18 00:00:00;266050000;Class A;\N
112;2020-11-18 00:00:00;244234000;Class A;9361354
113;2020-11-18 00:00:00;2573115;Base Station;\N
114;2020-11-18 00:00:00;230006000;Class A;9207883
115;2020-11-18 00:00:00;538008427;Class A;9353149
116;2020-11-18 00:00:00;304944000;Class A;9330953
117;2020-11-18 00:00:00;220359000;Class A;\N
118;2020-11-18 00:00:00;266319000;Class A;\N
119;2020-11-18 00:00:00;245391000;Class A;9467184
120;2020-11-18 00:00:00;219837000;Class A;\N
121;2020-11-18 00:00:00;211329270;Class A;\N
122;2020-11-18 00:00:00;219005867;Class A;\N
123;2020-11-18 00:00:00;248372000;Class A;9787912
124;2020-11-18 00:00:00;636092297;Class A;9534298
125;2020-11-18 00:00:00;375052000;Class A;8865614
126;2020-11-18 00:00:00;636092156;Class A;9540871
127;2020-11-18 00:00:00;265828500;Class A;\N
128;2020-11-18 00:00:01;219000183;Class A;\N
129;2020-11-18 00:00:01;992111840;AtoN;\N
130;2020-11-18 00:00:01;992111841;AtoN;\N
131;2020-11-18 00:00:01;235102628;Class A;\N
132;2020-11-18 00:00:01;636091859;Class A;9534250
133;2020-11-18 00:00:01;211190000;Class A;9151539
134;2020-11-18 00:00:01;219009229;Class A;\N
135;2020-11-18 00:00:01;376083000;Class A;9240732
136;2020-11-18 00:00:01;235006758;Class A;7719882
137;2020-11-18 00:00:01;2655185;Base Station;\N
138;2020-11-18 00:00:01;220024000;Class A;\N
139;2020-11-18 00:00:01;636019497;Class A;\N
140;2020-11-18 00:00:01;219006835;Class A;\N
141;2020-11-18 00:00:01;244780000;Class A;9467196
142;2020-11-18 00:00:01;219012639;Class A;\N
143;2020-11-18 00:00:01;218176000;Class A;8905115
144;2020-11-18 00:00:01;219000852;Class A;7726782
145;2020-11-18 00:00:01;219001695;Class A;\N
146;2020-11-18 00:00:01;244850855;Class A;9321108
147;2020-11-18 00:00:01;2573125;Base Station;\N
148;2020-11-18 00:00:01;219026443;Class A;\N
149;2020-11-18 00:00:01;265540720;Class A;\N
150;2020-11-18 00:00:01;219025535;Class A;\N
151;2020-11-18 00:00:01;219063000;Class A;9545156
153;2020-11-18 00:00:01;538007975;Class A;9474280
154;2020-11-18 00:00:01;219997000;Class A;9250969
155;2020-11-18 00:00:01;265527920;Class A;\N
156;2020-11-18 00:00:01;219622000;Class A;9150030
157;2020-11-18 00:00:01;2190047;Base Station;\N
158;2020-11-18 00:00:01;244110544;Class A;9037173
159;2020-11-18 00:00:01;219358000;Class A;\N
160;2020-11-18 00:00:01;2655125;Base Station;\N
161;2020-11-18 00:00:01;265570730;Class A;\N
162;2020-11-18 00:00:01;219001182;Class A;\N
163;2020-11-18 00:00:01;265663280;Class A;\N
164;2020-11-18 00:00:01;220046000;Class A;\N
165;2020-11-18 00:00:01;219001149;Class A;\N
166;2020-11-18 00:00:01;220368000;Class A;\N
167;2020-11-18 00:00:01;219007606;Class A;\N
168;2020-11-18 00:00:01;992111886;AtoN;\N
169;2020-11-18 00:00:01;219003879;Class A;\N
170;2020-11-18 00:00:01;256600000;Class A;9358890
172;2020-11-18 00:00:01;219014012;Class A;9566148
173;2020-11-18 00:00:01;2655130;Base Station;\N
174;2020-11-18 00:00:01;246476000;Class A;9226164
175;2020-11-18 00:00:01;219005921;Class A;\N
176;2020-11-18 00:00:01;331569000;Class A;\N
177;2020-11-18 00:00:01;259488000;Class A;9165487
178;2020-11-18 00:00:01;209210000;Class A;9174086
179;2020-11-18 00:00:01;231112000;Class A;8414116
180;2020-11-18 00:00:01;209114000;Class A;9173185
181;2020-11-18 00:00:01;236597000;Class A;9060778
182;2020-11-18 00:00:01;219168000;Class A;8516225
183;2020-11-18 00:00:01;265750000;Class A;6709971
184;2020-11-18 00:00:01;219027804;Class A;\N
185;2020-11-18 00:00:01;219000674;Class A;9199074
186;2020-11-18 00:00:01;219011857;Class A;\N
187;2020-11-18 00:00:01;219018494;Class A;\N
188;2020-11-18 00:00:01;209864000;Class A;\N
189;2020-11-18 00:00:01;636017523;Class A;9426049
190;2020-11-18 00:00:01;265797590;Class A;\N
191;2020-11-18 00:00:01;2190076;Base Station;\N
192;2020-11-18 00:00:01;266454000;Class A;9442914
193;2020-11-18 00:00:01;211718360;Class A;9142497
194;2020-11-18 00:00:01;311648000;Class A;9281009
195;2020-11-18 00:00:01;219023834;Class A;\N
196;2020-11-18 00:00:01;265759020;Class A;\N
197;2020-11-18 00:00:01;992191518;AtoN;\N
198;2020-11-18 00:00:01;257555000;Class A;9356622
199;2020-11-18 00:00:01;219023833;Class A;\N
200;2020-11-18 00:00:01;219005787;Class A;\N
201;2020-11-18 00:00:01;219005583;Class A;\N
202;2020-11-18 00:00:01;219002783;Class A;\N
204;2020-11-18 00:00:01;219005866;Class A;\N
205;2020-11-18 00:00:01;992111887;AtoN;\N
206;2020-11-18 00:00:01;220338000;Class A;\N
207;2020-11-18 00:00:01;219013885;Class A;\N
208;2020-11-18 00:00:01;273390790;Class A;9143611
209;2020-11-18 00:00:01;220012000;Class A;\N
210;2020-11-18 00:00:01;220333000;Class A;\N
211;2020-11-18 00:00:01;636018753;Class A;9411989
212;2020-11-18 00:00:01;219003119;Class A;\N
213;2020-11-18 00:00:01;538003432;Class A;9288916
214;2020-11-18 00:00:01;219025741;Class B;\N
215;2020-11-18 00:00:01;2190069;Base Station;\N
216;2020-11-18 00:00:01;219872000;Class A;9240988
217;2020-11-18 00:00:01;305541000;Class A;9534274
218;2020-11-18 00:00:01;220251000;Class A;7829235
219;2020-11-18 00:00:01;219006092;Class A;\N
220;2020-11-18 00:00:01;265177000;Class A;7907245
221;2020-11-18 00:00:01;244521000;Class A;9160449
222;2020-11-18 00:00:01;219005477;Class A;\N
223;2020-11-18 00:00:01;219005671;Class A;\N
224;2020-11-18 00:00:01;219002801;Class A;\N
225;2020-11-18 00:00:01;373465000;Class A;9539444
